name_id	name_	birth_year	death_year
nm8355666	Amit Jha	\N	\N
nm12508236	Taraknath Mourya	\N	\N
nm3473561	Rajesh Singh	\N	\N
nm5378778	Niren Bhatt	\N	\N
nm2097520	Abbaas Hierapurwala	\N	\N
nm4029150	Raju Odedra	\N	\N
nm2814611	Jitendra Parmar	\N	\N
nm4030057	Rajen Upadhyay	\N	\N
nm6176723	Anjum Abbash	\N	\N
nm3753696	Neelima Bajpai	\N	\N
nm6415502	Sanchita Bose	\N	\N
nm6176722	Lavleen Mishra	\N	\N
nm3803566	Priya Ramanathan	\N	\N
nm6415501	Nilima Vajpayee	\N	\N
nm2376836	Merve Atesoglu	\N	\N
nm4908456	Vural Balikci	\N	\N
nm12165838	SertaÃ§ Sayin	\N	\N
nm4907704	Digdem Senyucel	\N	\N
nm4908694	Baran Yildirim	\N	\N
nm2378421	Aysem Ãzge Yoldas	\N	\N
nm2276735	Sampurn Anand	\N	\N
nm4209487	Shahar Magen	\N	\N
nm1201559	Adam Sanderson	\N	\N
nm2193141	Manpreet Singh Arshi	\N	\N
nm0438471	Ekta Kapoor	1975	\N
nm0220152	Margaret DePriest	1931	\N
nm0778606	Lou Scofield	1913	1972
nm0989955	Patricia Falken Smith	1926	2001
nm14497186	Tang Jia San Shao	1981	\N
nm2255484	Rashmi Sharma	\N	\N
nm5443466	Sharad Tripathi	\N	\N
nm5203198	Zama Habib	\N	\N
nm7006227	Saba Mumtaz	\N	\N
nm6908651	Ghazala Nargis	\N	\N
nm9115585	Munisha Rajpal	\N	\N
nm9115586	Bandana Tiwari	\N	\N
nm9115584	Bhavna Vyas	\N	\N
nm2140444	Bill Myers	\N	\N
nm1904505	Laia Aza	\N	\N
nm2317177	Joan Grau	\N	\N
nm2321796	Natxo LÃ³pez	1976	\N
nm2318983	Edu Maleubre	\N	\N
nm2323564	Esther Morales	\N	\N
nm2053059	Esther Paredes	\N	\N
nm6817849	John Frederick Scott	\N	\N
nm1876309	Emil Cruz Jr.	\N	\N
nm1368206	Marco Tulio Socorro	\N	\N
nm1644621	Virginia YagÃ¼e	\N	\N
nm3797254	Damaris Irungu	\N	\N
nm3951289	Wanjiru Kairu	\N	\N
nm6623544	Natasha Likimani	\N	\N
nm4604137	Alison Ngibuini	\N	\N
nm10758812	Charles Ouda	\N	\N
nm1583640	Jonathan Gelabert	\N	\N
nm0379872	Antonio HernÃ¡ndez	1953	\N
nm0990401	Antonio Prieto	\N	\N
nm0879376	Juan TÃ©bar	1941	\N
nm1865788	GÃ¼lsen U. Erisdi	\N	\N
nm8453064	Murat KarahÃ¼seyinoglu	\N	\N
nm10103938	Yesim Olcay	\N	\N
nm1314316	Reuven Frank	1920	2006
nm3472437	Preiti Mamgain	\N	\N
nm8059083	Swati Pande	\N	\N
nm10560846	Martha Alexander	\N	\N
nm1749048	Charles Elwyn	\N	\N
nm0818649	Adrian Spies	1920	1998
nm1994413	Ashok Patole	\N	\N
nm0028621	Damon Andrews	1971	\N
nm1178357	Max Currie	\N	\N
nm5156036	Shanti Bhushan	\N	\N
nm5732574	Sancheeta Bose	\N	\N
nm4911010	Nilesh Patel	\N	\N
nm2790342	Jorge Arroyo	\N	\N
nm2792936	David Botello	\N	\N
nm2794805	Alfons Ferrandis	\N	\N
nm2792956	Luis Moreno	\N	\N
nm0086277	Jock Blair	\N	\N
nm0428243	Ian Jones	1931	2018
nm2734382	Puja Chatterjee	\N	\N
nm9053234	Soumyava	\N	\N
nm1128299	Robert J. Lee	\N	\N
nm6352729	Leena Gangopadhyay	\N	\N
nm0068074	Bradley Bell	1964	\N
nm0591517	Michael Minnis	\N	\N
nm0956789	Teresa Zimmerman	\N	\N
nm0446926	Tracey Ann Kelly	1968	\N
nm1019641	Jerry Birn	1923	2009
nm0068347	Lee Phillip Bell	1928	2020
nm0068589	William J. Bell	1927	2005
nm0829372	Erin Stewart Tiedje	\N	\N
nm10927214	Abhijeet Pednekar	\N	\N
nm10865868	Ashita Bhattacharya	\N	\N
nm8906185	Sayan Choudhury	\N	\N
nm1403597	Tuomas Summanen	\N	\N
nm7567865	Emilia Valentin	\N	\N
nm6310051	Rajan	\N	\N
nm1258512	Vibha Singh	\N	\N
nm10998793	R. Dharmalingam	\N	\N
nm10998792	P. Narayanan	\N	\N
nm10998794	G. Sabarinathan	\N	\N
nm1514327	Rupert Glasson	\N	\N
nm4379163	Mrinal Jha	\N	\N
nm1947819	Brij Mohan	\N	\N
nm10254257	Nikhilesh Sharma	\N	\N
nm11464558	Anjna Sood	\N	\N
nm5796652	Narek Margaryan	\N	\N
nm5796653	Sergey Sargsyan	\N	\N
nm7042156	Pa. Raghavan	\N	\N
nm10695442	Joyci	\N	\N
nm5277288	Brij Mohan Pandey	\N	\N
nm7591140	Zoran Bencic	\N	\N
nm5186278	Srabasti Basu	\N	\N
nm2938001	Promita Bhattacharya	\N	\N
nm5545554	Sourav Sengupta	\N	\N
nm1990616	Prasan De Silva	\N	\N
nm2982917	Michelle Lehman	\N	\N
nm10267011	Cassandra Troncoso	\N	\N
nm10513154	Rupa Banerjee	\N	\N
nm10647377	Sayantani Bhattacharya	\N	\N
nm10513155	Priyanka Seth	\N	\N
nm3378674	Surinder Singh	\N	\N
nm1532250	Ediberto Lima	\N	\N
nm10764268	Bombay Chanakya	\N	\N
nm11118786	Guru Sampath Kumar	\N	\N
nm11118789	V. Padmavathy	\N	\N
nm11118788	S. Sekkizhar	\N	\N
nm11118785	Selvam Subbhaiya	\N	\N
nm11118787	Vasubharathy	\N	\N
nm11088737	Bindu Naidu	\N	\N
nm11138477	Alagu Chandran	\N	\N
nm8024751	Ramanagirivasan	\N	\N
nm5741821	Sridhar	\N	\N
nm0009248	Tom Abrams	\N	\N
nm11358039	Tiit Aleksejev	\N	\N
nm1892986	Eriikka EtholÃ©n-Paju	\N	\N
nm1748970	Olle Mirme	1973	\N
nm2077444	Ana Casaca	\N	\N
nm2851614	Eduarda Laia	\N	\N
nm3452773	AndrÃ© MurraÃ§as	\N	\N
nm2052987	PatrÃ­cia MÃ¼ller	1978	\N
nm0050332	Alan Ball	1957	\N
nm1853938	Anar Anand	\N	\N
nm2689756	Varun Gautam	\N	\N
nm6412721	Jyoti Jha	\N	\N
nm1399148	Monish Sekhri	\N	\N
nm8850135	Suresh Babu	\N	\N
nm9041355	Sreerag Ramesh Nambiar	\N	\N
nm7370686	Snehasish Chakraborty	\N	\N
nm2168111	Nupur Asthana	\N	\N
nm4163981	Vinay Choudary	\N	\N
nm0665555	Vinay Pathak	1968	\N
nm1049065	Ading Fernando	\N	1984
nm1747290	Mauri Ahola	\N	\N
nm9223455	Javed Danish	\N	\N
nm9009760	Akash Deep	\N	\N
nm5607998	Prakriti Mukherjee	\N	\N
nm6265521	Prateek Sharma	\N	\N
nm1065581	Emanuel Jacobina	\N	\N
nm1065952	AndrÃ©a Maltarolli	1962	2009
nm0653565	Chris Ould	\N	\N
nm0480782	Kevin Laffan	1922	2003
nm10688741	Gwydion Beynon	\N	\N
nm7141604	Makwarela Phatu	\N	\N
nm8126550	Rajesh Beri	\N	\N
nm5199994	Amitabha Bhattacharya	\N	\N
nm6326609	Amar Deb	\N	\N
nm5612873	Amitava Mitra	\N	\N
nm3985704	Manish Shrivastava	\N	\N
nm7152406	Ajit Thakur	\N	\N
nm0183325	Ian Coughlan	1946	2001
nm0914844	Reg Watson	1926	2019
nm2523150	Mira Mustaffa	\N	\N
nm0944727	Yasmin Yaacob	\N	\N
nm2593982	Stu Weiss	\N	\N
nm1010628	Hatta Azad Khan	\N	\N
nm1113319	Soubee Amako	\N	\N
nm0881576	Yoshio Urasawa	\N	\N
nm1047180	William Winckler	1964	\N
nm0454669	Durnford King	\N	\N
nm1989361	Marc Richards	1930	2006
nm0518773	Robby London	\N	\N
nm0639434	Barry O'Brien	1957	\N
nm0517514	Bob Logan	\N	\N
nm0838429	Yaddanapoodi Sulochana Rani	\N	2018
nm12219846	Carla AdÃ£o	\N	\N
nm3704243	Daniel Samper Pizano	\N	\N
nm1154868	Angela Chaves	\N	\N
nm0243476	Maria JosÃ© DuprÃ©	1898	1984
nm0419494	Jose Javier Reyes	\N	\N
nm0726000	Philip Ridley	1964	\N
nm12642923	Ayan Bera	\N	\N
nm12642924	Kishor Dalal	\N	\N
nm7426558	Sushanta Das	\N	\N
nm6554045	Anindya Ghosh	\N	\N
nm10912170	Star Jalsha	\N	\N
nm5538842	Lovely Mukherjee	\N	\N
nm1802664	Maura Ladosz	\N	\N
nm1802731	Ilona Morusek	\N	\N
nm0637446	Pawel Nowicki	1951	\N
nm8009217	Marzena Szoltysik	\N	\N
nm1500864	Grazyna Wilczynska	\N	\N
nm0035382	Armelle	1969	\N
nm1055655	Alain Kappauf	\N	\N
nm0494103	Yvan Le Bolloc'h	1961	\N
nm0813219	Bruno Solo	1964	\N
nm1923551	Amanda Sthers	1978	\N
nm2517384	Mark Helsby	\N	\N
nm5237351	Badri	\N	\N
nm1326535	Sundar C.	1968	\N
nm8928211	Natraj	\N	\N
nm7017265	Venkat Raghavan	\N	\N
nm1879108	Sandi Spreckman	1953	2009
nm1876156	Kaye Switzer	\N	\N
nm0884811	Leen Valkenier	1924	1996
nm0209234	Jean de La Fontaine	1621	1695
nm6394406	J. Alan Nelson	1957	\N
nm12413438	Aleksey Akimov	\N	\N
nm12439578	Roman Borodavkin	\N	\N
nm12439576	Konstantin Garbuzov	\N	\N
nm5683576	Garry Gupalenko	1971	\N
nm10155918	Konstantin Ivanov	\N	\N
nm4986526	Yuliya Klimenko	\N	\N
nm12819663	Sergey Sazonov	\N	\N
nm12439577	Dmitriy Shepelevich	\N	\N
nm3557594	Olga Simonova	\N	\N
nm12819662	Aleksandr Trofimov	\N	\N
nm0191814	David Cumming	\N	\N
nm0934807	Roy Winsor	1912	1987
nm11534083	Devibala	\N	\N
nm1702573	Ingrid Isensee	1974	\N
nm10013841	Miguel Soffia	\N	\N
nm11501930	Ve. Ki. Amirtharaj	\N	\N
nm1060408	Peter Huemer	1941	\N
nm11554173	Salem Siva .M.P.	\N	\N
nm11539292	Amirthraj	\N	\N
nm6624268	Cynthia Chong	\N	\N
nm1779861	Freddy Leow	\N	\N
nm1905010	Yin Su	\N	\N
nm9551228	Andrea Ward	\N	\N
nm13244359	Indira Dongari	\N	\N
nm11479498	.V.V.S. Varaprasad	\N	\N
nm10641731	S. Ashok Kumar	\N	\N
nm11257659	Maruthu Shankar	\N	\N
nm11539324	Selva Vadivel	\N	\N
nm0805748	Henry Slesar	1927	2002
nm0892939	Irving Vendig	1902	1995
nm10716231	Manivannan	\N	\N
nm0356075	Sam Hall	1921	2014
nm0680460	Irna Phillips	1901	1973
nm0063686	Amanda L. Beall	1968	\N
nm0113780	James H. Brown	\N	\N
nm0260547	Barbara Esensten	1937	2012
nm1003798	Kay Alden	\N	\N
nm0808801	John F. Smith	\N	\N
nm0293955	Eric Freiwald	1927	2010
nm0366035	Elizabeth Harrower	1918	2003
nm10641547	Jerold	\N	\N
nm2292652	Simona Macovei	\N	\N
nm2741505	Sorina Ungureanu	\N	\N
nm8301565	Camila VillagrÃ¡n	\N	\N
nm6421767	Harsha Jagdish	\N	\N
nm11873226	Ila Arab Mehta	\N	\N
nm5375365	Kaajal Oza Vaidya	\N	\N
nm8740502	Adalja Varsha	\N	\N
nm0825212	Jakob Stegelmann	1957	\N
nm10919550	John Humphreys	\N	\N
nm11980896	Mason Willard	\N	\N
nm9115645	Aleksey Lyapichev	\N	\N
nm11218192	Nikolay Muratov	\N	\N
nm4901594	Vadim Sveshnikov	\N	\N
nm0469689	Tom Kramer	\N	\N
nm1161980	Stuart Page	\N	\N
nm0341737	Rachel Griffiths	1968	\N
nm1503485	Darren Dale	\N	\N
nm1103754	Miranda Dear	\N	\N
nm0672094	Fred Penner	1946	\N
nm11498435	V. Amalraj	\N	\N
nm11498434	V.K. Amithraj	\N	\N
nm11490209	Nandhan Sridharan	\N	\N
nm8157909	Hrach Muradyan	\N	\N
nm1227121	Tucker Carlson	1969	\N
nm0174261	Georges Conchon	1925	1990
nm0295365	Serge Friedman	1930	\N
nm0480257	JosÃ©-AndrÃ© Lacour	1919	2005
nm0633147	Pierre Nivollet	\N	\N
nm0678080	Jean-Pierre Petrolacci	\N	\N
nm0686505	Paul Planchon	\N	\N
nm0748257	BÃ©atrice Rubinstein	\N	\N
nm13182252	Ajay Raj Bharadwaj	\N	\N
nm1885232	Paritosh Painter	\N	\N
nm6427250	Koel Chaudhuri	\N	\N
nm9142902	Aparna Padgaonkar	\N	\N
nm1242272	Subrat Sinha	\N	\N
nm10512211	Roshni Suvrna	\N	\N
nm0067598	Gustavo Belatti	1959	\N
nm0781746	Mario Segade	1966	\N
nm3628491	Danilo Gentili	1979	\N
nm7470732	Rochelle Maria Muzquiz	\N	\N
nm1367099	Cyril Hanouna	1974	\N
nm6308414	Ewelina Chyrzynska	\N	\N
nm11568033	Maria Czudowska-Kin	\N	\N
nm0503317	Ilona Lepkowska	1954	\N
nm1395037	Iwona Strzalka	1972	\N
nm1476014	Tomasz Wojtczuk	\N	\N
nm9684468	Joanna Budzowska	\N	\N
nm8009607	Dominik Gasiorowski	\N	\N
nm11448638	Agnieszka Glebicka	\N	\N
nm1249176	Anna Stanko	\N	\N
nm8008432	Katarzyna Stelmaszczyk	\N	\N
nm8008433	Miroslaw Tomaszewski	\N	\N
nm11353894	Aleksandra Woloszczuk	\N	\N
nm5670725	Marcin Wysocki	\N	\N
nm3575029	Anshuman Sinha	\N	\N
nm10647720	Soumavo Goswami	\N	\N
nm3806212	Manoj Santoshi	\N	\N
nm5042664	Zillur Rahman	1948	2011
nm10867913	Balika Vadhu	\N	\N
nm5239844	Solana Ribeiro	\N	\N
nm8316961	Jitendra Gupta	\N	\N
nm11543166	Archana Joshi	\N	\N
nm10659875	Souvik Bhattacharya	\N	\N
nm6366452	Anjan Chakraborty	\N	\N
nm3354020	Raj Chakraborty	1975	\N
nm12387777	Preetikana Paul Roy	\N	\N
nm1006257	Guy Bernaert	1940	2017
nm3472630	Rita Bossaer	\N	\N
nm1488214	Gonzalo San MartÃ­n	1977	\N
nm12456469	Hooli Shekar	\N	\N
nm6427249	Salil Sand	\N	\N
nm5443343	Renu Watwani	\N	\N
nm1875325	Vishal Watwani	\N	\N
nm11539291	Vasu Bharathi	\N	\N
nm2007993	Kavitha Bharathy	\N	\N
nm5758216	Charudatta Bhagwat	\N	\N
nm7305138	Swapnil Gangurde	\N	\N
nm10427765	Manish Kadam	\N	\N
nm9897946	Kate du Randt	\N	\N
nm12559940	Jyothi Arunachalam	\N	\N
nm12559939	Vasakar Kaaliyappan	\N	\N
nm10641658	Dinesh Gopalswamy	\N	\N
nm2346665	Chinmay Mandlekar	1979	\N
nm1591341	Alrick Brown	\N	\N
nm9956029	Jayaratnam Padyam	\N	\N
nm6796171	R. Prabhakar	\N	\N
nm12417560	Khushbu Sundar	\N	\N
nm7453071	Trenton Lumpkin	\N	\N
nm12583597	A.R. Murthy	\N	\N
nm12132193	Venkateswara K. Rao	\N	\N
nm1041858	Herman Verbaet	\N	\N
nm1164647	Nobuyuki Fujimoto	1957	2015
nm1193007	Andrea Romoli	1944	\N
nm1144732	Machiko Hasegawa	1920	1992
nm8798545	Yavor Dedek	\N	\N
nm9535179	Sascha Wolf	\N	\N
nm2591398	IvÃ¡n Salas-Moya	\N	\N
nm6380495	Daan van 't Einde	\N	\N
nm0349923	CÃ©line Guyot	\N	\N
nm0349930	Martin Guyot	\N	\N
nm0032643	Kris Aquino	1971	\N
nm1639391	Vikas Kapoor	\N	\N
nm0128851	Michel Cailloux	1931	2012
nm0760848	Guy Sanche	1934	1988
nm12699398	Anway Dutta	\N	\N
nm12699397	Sambaran Mukherjee	\N	\N
nm12699396	Smritikona Paul Roy	\N	\N
nm2941131	Shashi Mittal	\N	\N
nm2940535	Sumeet Hukamchand Mittal	\N	\N
nm2194186	Jillmer Dy	\N	\N
nm1293423	Rondel Lindayag	\N	\N
nm3607542	Ernie Smith	\N	\N
nm1313509	Boy Abunda	1963	\N
nm2099309	Ian P. Reyno	\N	\N
nm12766418	Selva Pandiyan	\N	\N
nm5381481	Victor Anastacio	\N	\N
nm1415124	Sherwin Buenvenida	\N	\N
nm2504026	Badjie Mortiz	\N	\N
nm1293867	Edgar Mortiz	\N	\N
nm12783241	Toffie Runas	\N	\N
nm8073278	Khursheed Alam	\N	\N
nm10730102	Parthiban	\N	\N
nm3826010	Lakshmy Ramakrishnan	1970	\N
nm9957701	Pradeep Panicker	\N	\N
nm3780121	Samanta Chiodini	\N	2022
nm0269786	Fabio Fazio	1964	\N
nm2586717	Pietro Galeotti	\N	\N
nm1144333	Marco Posani	\N	\N
nm1006273	Michele Serra	1954	\N
nm10594908	Prabhakar Podakandla	\N	\N
nm12840823	Sagar	\N	\N
nm5704133	Ananth Kumar	\N	\N
nm12330168	Kranthi Saina	\N	\N
nm14167000	Lawrence Joseph John	\N	\N
nm5459465	Shailendra R. Kumar	\N	\N
nm8258239	Deepak Malik	\N	\N
nm10431111	Priya Mishra	\N	\N
nm12890671	Michael Vostryshev	\N	\N
nm1216340	Colin Edmonds	\N	\N
nm12955968	Jean Cazalot	\N	\N
nm0177672	Ernie Coombs	1927	2001
nm2003367	Anthony Akerman	\N	\N
nm0306872	Craig Gardner	1950	\N
nm2048314	Zaheer Goodman-Bhyat	\N	\N
nm1974030	David Gordon	\N	\N
nm2002777	Genna Lewis	\N	\N
nm0004591	John Fasano	1961	2014
nm1459623	Abdi Nazemian	\N	\N
nm3716398	Lipika Pelham	\N	\N
nm0715087	Phil Redmond	1949	\N
nm12950608	Nontuthuzelo Magoxo	\N	\N
nm12950610	Awelani Makhuvha	\N	\N
nm12950607	Loyiso Maqoma	\N	\N
nm5262331	Duma Ndlovu	\N	\N
nm12950609	Tsholofelo Ndlovu	\N	\N
nm11578254	Pamela Power	\N	\N
nm10357998	Aris Nugraha	\N	\N
